JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM J PSYCHIAT;0002-953X;41901;12.539;12.679;3.583;103;9.7;0.06758;4.544;
AM J RESP CRIT CARE;1073-449X;46471;11.080;10.424;2.631;317;8.4;0.10282;3.701;
AM J TRANSPLANT;1600-6135;15126;6.394;6.025;1.622;291;4.5;0.05948;1.959;
ANAL CHEM;0003-2700;95262;5.856;5.983;0.933;1328;7.7;0.17583;1.553;
ANESTHESIOLOGY;0003-3022;21565;5.359;5.190;1.579;240;8.9;0.03720;1.545;
ANGEW CHEM INT EDIT;1433-7851;209862;13.455;13.195;2.898;2002;5.4;0.51421;3.378;
ANGIOGENESIS;0969-6970;1633;6.063;;0.651;43;4.9;0.00616;;
ANN FAM MED;1544-1709;2351;5.355;4.900;2.434;53;4.7;0.01059;2.062;
ANN INTERN MED;0003-4819;45683;16.733;17.035;3.538;171;9.4;0.12029;7.912;
ANN NEUROL;0364-5134;31352;11.089;10.644;2.615;192;9.0;0.06736;4.188;
ANN ONCOL;0923-7534;19905;6.425;5.469;1.812;372;4.9;0.06614;1.797;
ANN RHEUM DIS;0003-4967;24321;8.727;7.792;2.475;364;5.5;0.06822;2.371;
ANN SURG;0003-4932;35171;7.492;8.875;0.968;317;8.6;0.07066;3.036;
ANNU REV ANAL CHEM;1936-1327;876;9.048;11.806;1.050;20;3.1;0.00520;3.939;
ANNU REV ASTRON ASTR;0066-4146;7112;26.452;29.657;2.000;13;>10.0;0.02108;17.157;
ANNU REV BIOCHEM;0066-4154;18684;34.317;35.013;2.951;41;>10.0;0.05688;19.755;
ANNU REV BIOMED ENG;1523-9829;2868;12.214;15.667;0.619;21;6.6;0.00820;5.519;
ANNU REV BIOPHYS;1936-122X;1294;13.574;17.729;2.667;18;2.9;0.01308;10.189;
ANNU REV CELL DEV BI;1081-0706;8399;15.836;19.733;0.733;30;8.0;0.02744;11.421;
ANNU REV CHEM BIOMOL;1947-5438;158;7.294;7.294;1.417;24;1.4;0.00093;2.974;
ANNU REV CLIN PSYCHO;1548-5943;1573;9.111;11.287;1.200;20;4.5;0.00830;4.815;
ANNU REV CONDEN MA P;1947-5454;293;12.389;12.389;3.889;18;1.3;0.00348;10.553;
ANNU REV EARTH PL SC;0084-6597;4024;7.227;8.850;1.429;21;>10.0;0.01065;5.426;
ANNU REV ECOL EVOL S;1543-592X;14049;14.373;18.007;0.227;22;>10.0;0.02330;9.273;
ANNU REV ENTOMOL;0066-4170;8270;11.455;14.154;5.160;25;>10.0;0.01209;5.071;
ANNU REV ENV RESOUR;1543-5938;1170;6.419;7.827;0.111;18;5.7;0.00494;3.322;
ANNU REV FLUID MECH;0066-4189;6234;12.767;12.558;2.963;27;>10.0;0.01296;7.439;
ANNU REV GENET;0066-4197;6212;22.233;20.637;0.200;20;7.3;0.02515;12.134;
ANNU REV GENOM HUM G;1527-8204;2172;14.829;14.615;0.500;18;4.6;0.01479;8.398;
ANNU REV IMMUNOL;0732-0582;15990;52.761;42.901;9.174;23;8.2;0.05199;23.427;
ANNU REV MAR SCI;1941-1405;653;16.457;16.457;3.571;21;2.1;0.00526;8.194;
ANNU REV MATER RES;1531-7331;4964;13.073;12.451;1.353;17;>10.0;0.01171;6.258;
ANNU REV MED;0066-4219;4559;13.104;10.710;3.844;32;7.3;0.01345;4.340;
ANNU REV MICROBIOL;0066-4227;7940;14.345;16.083;0.452;31;>10.0;0.01812;7.430;
ANNU REV NEUROSCI;0147-006X;11948;25.737;31.058;2.458;24;9.9;0.03054;16.169;
ANNU REV NUCL PART S;0163-8998;1853;6.457;8.333;0.150;20;7.9;0.00723;4.531;
ANNU REV NUTR;0199-9885;4095;9.447;9.708;0.706;17;9.8;0.00692;3.561;
ANNU REV PATHOL-MECH;1553-4006;1762;20.000;17.750;5.476;21;3.2;0.01362;8.072;
ANNU REV PHARMACOL;0362-1642;7084;21.639;22.330;6.278;18;8.4;0.01516;8.269;
ANNU REV PHYS CHEM;0066-426X;6657;14.130;17.480;3.267;30;9.7;0.01686;7.474;
ANNU REV PHYSIOL;0066-4278;7768;20.827;20.504;3.600;25;9.2;0.02214;9.657;
ANNU REV PHYTOPATHOL;0066-4286;5009;9.875;13.000;0.654;26;>10.0;0.00771;4.475;
ANNU REV PLANT BIOL;1543-5008;13134;25.962;30.649;2.783;23;9.8;0.02960;12.044;
ANNU REV PSYCHOL;0066-4308;9464;16.833;23.274;3.348;23;9.2;0.02575;11.324;
ANNU REV PUBL HEALTH;0163-7525;3298;5.451;9.333;1.923;26;7.6;0.00895;4.067;
ANTIOXID REDOX SIGN;1523-0864;9629;8.456;7.615;2.119;361;3.9;0.03702;2.369;
APPL CATAL B-ENVIRON;0926-3373;20525;5.625;6.052;0.858;471;5.4;0.04735;1.425;
ARCH GEN PSYCHIAT;0003-990X;35277;12.016;14.179;2.202;124;>10.0;0.06250;5.436;
ARCH INTERN MED;0003-9926;37598;11.462;11.000;3.363;171;7.9;0.10764;4.760;
ARCH NEUROL-CHICAGO;0003-9942;21196;7.584;6.928;1.570;179;8.9;0.04561;2.479;
ARTERIOSCL THROM VAS;1079-5642;30722;6.368;7.037;1.211;375;7.0;0.08248;2.607;
ARTHRITIS RHEUM-US;0004-3591;43887;7.866;7.979;1.542;406;7.6;0.09867;2.648;
ASTRON ASTROPHYS REV;0935-4956;817;11.526;14.108;0.375;8;4.0;0.00548;8.071;
ASTROPHYS J;0004-637X;166376;6.024;5.102;1.730;2472;7.5;0.42962;1.805;
ASTROPHYS J LETT;2041-8205;39118;5.526;;1.511;747;6.7;0.15733;;
ASTROPHYS J SUPPL S;0067-0049;21343;13.456;11.438;8.995;182;7.1;0.07640;5.867;
ATMOS CHEM PHYS;1680-7316;18402;5.520;5.633;1.218;799;3.3;0.07537;1.617;
AUTOIMMUN REV;1568-9972;3998;6.624;5.214;1.412;131;3.0;0.01435;1.307;
AUTOPHAGY;1554-8627;4923;7.453;6.699;2.324;108;3.3;0.02995;2.504;
B AM METEOROL SOC;0003-0007;10674;6.026;6.946;1.349;63;>10.0;0.02751;3.876;
BASIC RES CARDIOL;0300-8428;3310;7.348;5.941;1.663;104;4.5;0.00839;1.495;
BBA-MOL BASIS DIS;0925-4439;5467;5.387;4.839;1.132;182;5.2;0.01856;1.643;
BBA-MOL CELL BIOL L;1388-1981;5861;5.269;4.899;0.605;124;5.3;0.02230;1.807;
BBA-MOL CELL RES;0167-4889;7895;5.538;4.932;0.843;223;5.1;0.03189;1.917;
BBA-REV CANCER;0304-419X;3046;9.380;9.939;1.756;41;4.7;0.01246;3.795;
BEHAV BRAIN SCI;0140-525X;6081;25.056;22.558;3.714;7;>10.0;0.01026;10.760;
BIOINFORMATICS;1367-4803;43380;5.468;6.051;0.666;707;6.2;0.15904;2.607;
BIOL PSYCHIAT;0006-3223;34481;8.283;9.247;1.836;298;6.6;0.09387;3.191;
BIOL REV;1464-7931;5678;9.067;11.790;1.830;47;8.9;0.01402;4.870;
BIOMACROMOLECULES;1525-7797;21280;5.479;5.646;0.752;509;4.9;0.06045;1.397;
BIOMATERIALS;0142-9612;60902;7.404;8.415;1.514;1007;5.9;0.13065;2.031;
BIOSENS BIOELECTRON;0956-5663;20029;5.602;5.637;1.102;704;4.2;0.05058;1.210;
BIOTECHNOL ADV;0734-9750;5293;9.646;10.959;1.330;88;4.4;0.01584;2.699;
BIOTECHNOL BIOFUELS;1754-6834;538;6.088;7.014;0.317;60;2.5;0.00261;1.923;
BIPOLAR DISORD;1398-5647;3786;5.289;5.042;0.414;70;4.7;0.01177;1.360;
BLOOD;0006-4971;140118;9.898;9.785;1.878;1568;6.5;0.42794;3.692;
BLOOD REV;0268-960X;1632;5.355;6.610;1.625;32;4.9;0.00624;2.413;
BMC BIOL;1741-7007;2193;5.750;5.841;1.042;48;3.0;0.01672;2.780;
BMC MED;1741-7015;1835;6.035;5.768;0.825;114;2.9;0.00966;2.106;
BRAIN;0006-8950;38614;9.457;10.545;1.885;269;7.8;0.09964;3.914;
BRAIN RES REV;0165-0173;8773;10.342;9.199;1.372;43;7.6;0.02252;3.354;
BRAIN STRUCT FUNCT;1863-2653;831;5.628;6.061;0.833;42;2.5;0.00575;2.395;
BREAST CANCER RES;1465-542X;6483;5.245;6.091;0.733;172;4.7;0.02648;2.185;
BRIEF BIOINFORM;1467-5463;2859;5.202;7.749;0.692;65;4.3;0.01127;2.859;
BRIT J PSYCHIAT;0007-1250;20364;6.619;6.606;1.383;128;>10.0;0.03432;2.331;
BRIT MED J;0959-535X;74759;14.093;13.511;7.992;261;10.0;0.14402;5.404;
CA-CANCER J CLIN;0007-9235;10976;101.780;67.410;21.263;19;3.8;0.04500;24.536;
CAN MED ASSOC J;0820-3946;11413;8.217;8.311;1.917;133;7.3;0.02947;3.015;
CANCER CELL;1535-6108;19726;26.566;28.174;5.045;111;5.0;0.11452;15.267;
CANCER METAST REV;0167-7659;4501;10.573;10.339;0.840;50;5.3;0.01804;3.919;
CANCER RES;0008-5472;138772;7.856;8.164;1.582;749;7.5;0.36273;3.100;
CANCER TREAT REV;0305-7372;3642;6.054;5.828;1.000;67;4.2;0.01289;1.807;
CARBON;0008-6223;27798;5.378;6.008;1.081;641;6.3;0.06078;1.599;
CARCINOGENESIS;0143-3334;20081;5.702;5.203;0.818;242;7.7;0.04645;1.700;
CARDIOVASC RES;0008-6363;19557;6.064;6.225;1.509;277;6.6;0.05148;2.070;
CATAL REV;0161-4940;2737;7.500;9.927;0.429;7;>10.0;0.00219;2.908;
CELL;0092-8674;171297;32.403;34.774;6.382;338;8.6;0.66082;20.554;
CELL COMMUN SIGNAL;1478-811X;383;5.500;;0.643;28;2.4;0.00218;;
CELL CYCLE;1538-4101;14143;5.359;4.571;1.227;428;3.4;0.07801;1.713;
CELL DEATH DIFFER;1350-9047;13183;8.849;7.955;1.977;174;5.1;0.05751;3.239;
CELL DEATH DIS;2041-4889;613;5.333;5.333;0.643;126;1.4;0.00263;1.449;
CELL HOST MICROBE;1931-3128;4840;13.500;14.067;2.274;95;2.8;0.04196;6.975;
CELL METAB;1550-4131;9907;13.668;17.770;2.624;133;3.9;0.07150;8.606;
CELL MICROBIOL;1462-5814;7268;5.458;5.299;1.116;138;4.7;0.03231;1.975;
CELL MOL LIFE SCI;1420-682X;16807;6.570;6.534;1.017;301;5.2;0.06520;2.502;
CELL RES;1001-0602;5318;8.190;7.889;2.788;113;3.5;0.02796;3.131;
CELL STEM CELL;1934-5909;10145;25.421;27.494;6.646;96;2.7;0.10082;15.981;
CEREB CORTEX;1047-3211;19105;6.544;7.058;1.623;260;5.8;0.07277;2.997;
CHEM BIOL;1074-5521;9121;5.829;5.971;1.258;151;6.9;0.02760;2.439;
CHEM COMMUN;1359-7345;105562;6.169;6.082;1.503;3408;5.5;0.24100;1.552;
CHEM MATER;0897-4756;69926;7.286;6.949;1.637;673;6.4;0.15836;1.915;
CHEM REV;0009-2665;103702;40.197;42.054;7.158;196;7.9;0.21470;13.333;
CHEM SCI;2041-6520;1697;7.525;7.545;2.848;328;0.9;0.00452;2.492;
CHEM SOC REV;0306-0012;35918;28.760;28.098;5.471;314;3.2;0.13678;8.089;
CHEM-EUR J;0947-6539;54127;5.925;5.866;1.294;1697;3.9;0.16908;1.532;
CHEMCATCHEM;1867-3880;1502;5.207;5.207;1.049;224;1.6;0.00601;1.354;
CHEMSUSCHEM;1864-5631;3040;6.827;7.171;1.114;201;2.4;0.01339;1.867;
CHEST;0012-3692;41594;5.250;6.224;1.332;365;8.1;0.08864;2.158;
CIRC RES;0009-7330;43101;9.489;10.037;1.992;262;7.9;0.10884;3.889;
CIRC-ARRHYTHMIA ELEC;1941-3149;1416;6.462;6.525;0.862;109;2.3;0.00943;2.545;
CIRC-CARDIOVASC GENE;1942-325X;1080;6.105;6.137;1.136;81;2.1;0.00842;2.870;
CIRC-CARDIOVASC IMAG;1941-9651;1053;5.941;6.032;1.221;77;2.1;0.00757;2.611;
CIRC-CARDIOVASC INTE;1941-7640;1091;6.058;6.250;1.333;66;2.1;0.00840;2.862;
CIRC-HEART FAIL;1941-3289;1395;6.286;6.639;1.261;88;2.1;0.01136;3.242;
CIRCULATION;0009-7322;148286;14.739;15.304;3.041;582;8.1;0.33928;5.973;
CLADISTICS;0748-3007;3229;5.250;5.684;0.972;36;>10.0;0.00621;1.914;
CLIN CANCER RES;1078-0432;60853;7.742;7.508;1.486;767;5.4;0.20597;2.538;
CLIN CHEM;0009-9147;25542;7.905;6.725;1.804;163;9.3;0.04652;2.149;
CLIN GASTROENTEROL H;1542-3565;7164;5.627;5.973;1.765;132;4.3;0.03453;2.090;
CLIN INFECT DIS;1058-4838;43819;9.154;8.667;2.312;397;6.2;0.13396;3.121;
CLIN J AM SOC NEPHRO;1555-9041;6561;5.227;5.310;0.899;347;3.0;0.03728;1.737;
CLIN MICROBIOL REV;0893-8512;11551;16.129;19.832;1.875;32;9.1;0.02169;6.837;
CLIN PHARMACOKINET;0312-5963;5928;5.398;4.984;1.036;55;9.2;0.00809;1.428;
CLIN PHARMACOL THER;0009-9236;12986;6.043;6.231;2.389;203;6.9;0.03082;1.943;
COCHRANE DB SYST REV;1469-493X;29593;5.912;6.309;0.905;620;4.7;0.12170;2.180;
COORDIN CHEM REV;0010-8545;25062;12.110;12.744;2.179;151;7.7;0.04169;3.211;
CORTEX;0010-9452;4985;6.080;4.765;2.012;86;5.5;0.01345;1.400;
CRIT CARE MED;0090-3493;30570;6.330;6.484;2.142;310;6.7;0.08036;2.168;
CRIT REV BIOCHEM MOL;1040-9238;2500;7.655;8.916;0.667;33;8.5;0.00870;4.431;
CRIT REV BIOTECHNOL;0738-8551;1193;6.472;6.346;0.636;22;6.8;0.00218;1.524;
CRIT REV CL LAB SCI;1040-8363;967;5.250;5.532;0.214;14;7.8;0.00196;1.726;
CRIT REV MICROBIOL;1040-841X;1279;6.270;5.694;0.680;25;7.7;0.00274;1.756;
CRIT REV SOLID STATE;1040-8436;694;9.467;8.906;0.455;11;7.0;0.00209;3.563;
CRIT REV TOXICOL;1040-8444;2596;5.160;6.237;0.943;35;7.3;0.00554;1.788;
CSH PERSPECT BIOL;1943-0264;2379;9.402;9.402;1.766;141;1.7;0.02279;5.548;
CURR BIOL;0960-9822;41572;9.647;10.881;2.360;333;6.3;0.18607;5.888;
CURR OPIN BIOTECH;0958-1669;8718;7.711;8.934;1.282;124;6.4;0.02357;2.920;
CURR OPIN CELL BIOL;0955-0674;13795;12.897;12.594;1.648;91;6.4;0.06374;6.950;
CURR OPIN CHEM BIOL;1367-5931;8599;9.850;9.723;1.204;108;5.8;0.02787;3.423;
CURR OPIN COLLOID IN;1359-0294;4478;8.010;7.837;0.829;70;7.4;0.00919;2.268;
CURR OPIN GENET DEV;0959-437X;7832;8.086;8.040;1.543;105;6.5;0.03373;4.378;
CURR OPIN IMMUNOL;0952-7915;8729;9.522;9.142;1.174;109;5.5;0.03793;4.136;
CURR OPIN LIPIDOL;0957-9672;3478;6.086;5.351;1.000;58;6.3;0.01065;1.923;
CURR OPIN MICROBIOL;1369-5274;7344;7.929;8.418;1.020;100;5.7;0.02969;3.542;
CURR OPIN NEUROBIOL;0959-4388;10788;7.444;8.742;1.075;120;7.3;0.04030;4.725;
CURR OPIN PHARMACOL;1471-4892;5003;6.856;6.924;0.713;101;4.4;0.02063;2.295;
CURR OPIN PLANT BIOL;1369-5266;8747;9.272;9.462;0.919;99;5.8;0.03050;3.523;
CURR OPIN STRUC BIOL;0959-440X;10190;9.424;9.485;1.548;93;6.7;0.04108;4.870;
CURR TOP DEV BIOL;0070-2153;2056;6.000;5.802;0.657;35;5.0;0.01223;3.301;
CYTOKINE GROWTH F R;1359-6101;4405;7.812;8.013;0.485;33;6.6;0.01278;3.043;
DEV CELL;1534-5807;18481;14.030;14.202;2.448;154;5.3;0.11839;8.928;
DEVELOPMENT;0950-1991;51121;6.596;7.091;1.463;492;8.9;0.13853;3.676;
DIABETES;0012-1797;44820;8.286;8.301;1.570;356;7.6;0.10417;2.919;
DIABETES CARE;0149-5992;44452;8.087;7.424;1.547;532;6.8;0.11423;2.445;
DIABETOLOGIA;0012-186X;22276;6.814;6.170;1.229;328;7.1;0.05887;2.197;
DNA RES;1340-2838;1766;5.164;5.276;0.810;42;6.5;0.00547;2.057;
DRUG DISCOV TODAY;1359-6446;8280;6.828;7.155;0.992;122;5.4;0.02185;1.882;
DRUG METAB REV;0360-2532;2206;6.400;6.188;0.636;33;7.5;0.00481;1.821;
DRUG RESIST UPDATE;1368-7646;1854;9.559;10.048;2.269;26;6.2;0.00500;3.245;
EARTH-SCI REV;0012-8252;5065;6.594;8.177;1.541;74;7.5;0.01664;3.910;
ECOL LETT;1461-023X;14561;17.557;15.389;2.351;94;5.7;0.06713;7.380;
ECOL MONOGR;0012-9615;8300;7.433;7.750;1.033;30;>10.0;0.01071;3.745;
EMBO J;0261-4189;73390;9.205;8.833;2.248;379;>10.0;0.17335;4.867;
EMBO MOL MED;1757-4676;776;10.333;10.333;1.769;52;2.1;0.00583;4.818;
EMBO REP;1469-221X;9618;7.355;7.366;1.494;154;5.7;0.04660;3.748;
EMERG INFECT DIS;1080-6040;20666;6.169;6.689;1.508;382;5.3;0.06686;2.157;
ENDOCR REV;0163-769X;12765;19.929;21.712;2.963;27;9.5;0.02334;8.159;
ENDOSCOPY;0013-726X;7313;5.210;4.750;0.723;177;5.6;0.01963;1.318;
ENERG ENVIRON SCI;1754-5692;5087;9.610;10.813;2.049;548;1.9;0.01802;2.700;
ENERGY EDUC SCI TECH;1301-8361;2992;31.677;;5.460;174;1.5;0.00117;;
ENVIRON HEALTH PERSP;0091-6765;28595;7.036;7.366;1.399;288;7.3;0.06313;2.324;
ENVIRON INT;0160-4120;7613;5.297;5.339;1.303;152;6.0;0.01922;1.564;
ENVIRON MICROBIOL;1462-2912;12352;5.843;6.151;1.296;250;4.4;0.05214;2.187;
ENVIRON SCI TECHNOL;0013-936X;82897;5.228;5.764;0.814;1416;6.4;0.18929;1.604;
EPIDEMIOL REV;0193-936X;2589;7.583;15.491;3.231;13;>10.0;0.00610;5.838;
EPIDEMIOLOGY;1044-3983;8476;5.566;6.165;1.761;92;7.9;0.02417;2.679;
EUR HEART J;0195-668X;28286;10.478;10.511;2.809;282;5.1;0.11114;3.892;
EUR J CANCER;0959-8049;19134;5.536;4.781;0.817;317;6.6;0.05306;1.646;
EUR J INFLAMM;1721-727X;237;5.233;;0.057;35;1.5;0.00059;;
EUR RESPIR J;0903-1936;23009;5.895;5.879;1.725;306;6.9;0.05565;1.949;
EUR UROL;0302-2838;14914;8.493;7.123;2.908;229;4.4;0.05107;2.078;
EUROSURVEILLANCE;1560-7917;5072;6.153;;1.632;190;2.6;0.02485;;
EXPERT OPIN INV DRUG;1354-3784;4032;5.274;3.813;0.848;105;4.2;0.01354;1.126;
EXPERT REV MOL MED;1462-3994;1511;7.143;;1.000;38;3.7;0.00693;;
FASEB J;0892-6638;38304;5.712;6.340;1.281;409;7.6;0.08876;2.243;
FEMS MICROBIOL REV;0168-6445;7160;10.960;11.754;2.978;46;7.7;0.01759;4.283;
FISH FISH;1467-2960;1549;5.800;6.571;0.852;27;5.7;0.00570;2.609;
FREE RADICAL BIO MED;0891-5849;29614;5.423;5.769;0.819;408;8.3;0.05341;1.578;
FRONT ECOL ENVIRON;1540-9295;3745;9.113;9.023;1.519;54;4.6;0.01970;4.085;
FRONT NEUROENDOCRIN;0091-3022;2660;11.429;11.648;1.515;33;4.0;0.00898;3.825;
GASTROENTEROLOGY;0016-5085;57982;11.675;12.455;2.995;375;7.2;0.15640;4.514;
GENE DEV;0890-9369;55857;11.659;12.785;2.703;236;8.5;0.20955;8.018;
GENOME BIOL;1474-7596;15556;9.036;7.896;1.550;151;5.2;0.08219;4.130;
GENOME RES;1088-9051;24988;13.608;12.486;2.548;208;5.9;0.12702;7.155;
GLOBAL CHANGE BIOL;1354-1013;16313;6.862;8.036;1.534;292;5.4;0.06455;3.188;
GLOBAL ENVIRON CHANG;0959-3780;3816;6.868;8.262;1.008;128;5.5;0.01120;2.503;
GONDWANA RES;1342-937X;3498;6.659;5.599;2.176;131;3.6;0.01100;1.442;
GREEN CHEM;1463-9262;12023;6.320;6.761;1.090;442;4.2;0.03185;1.500;
GUT;0017-5749;29465;10.111;9.885;2.927;192;7.9;0.06214;3.258;
HAEMATOL-HEMATOL J;0390-6078;10766;6.424;6.107;1.545;242;4.4;0.04645;2.231;
HEPATOLOGY;0270-9139;46871;11.665;11.089;2.455;387;6.6;0.12026;3.522;
HIPPOCAMPUS;1050-9631;6516;5.176;5.135;0.942;121;6.5;0.02230;2.160;
HUM BRAIN MAPP;1065-9471;10916;5.880;6.348;1.331;181;5.9;0.03617;2.382;
HUM MOL GENET;0964-6906;33384;7.636;7.510;1.743;463;6.4;0.11514;3.160;
HUM MUTAT;1059-7794;10114;5.686;5.845;0.960;200;5.3;0.04021;2.345;
HUM REPROD UPDATE;1355-4786;5125;9.234;9.609;1.774;62;6.2;0.01339;2.944;
HYPERTENSION;0194-911X;30265;6.207;6.643;1.874;285;7.7;0.06641;2.185;
IEEE COMMUN SURV TUT;1553-877X;874;6.311;5.496;0.667;36;3.2;0.00502;2.301;
IMMUNITY;1074-7613;31337;21.637;21.094;4.047;149;6.0;0.15710;11.981;
IMMUNOL REV;0105-2896;11982;11.148;11.293;2.959;97;5.4;0.05522;5.319;
INT J CANCER;0020-7136;41471;5.444;4.919;1.444;603;6.7;0.11235;1.674;
INT J CARDIOL;0167-5273;11668;7.078;4.111;1.206;373;3.9;0.03342;0.959;
INT J EPIDEMIOL;0300-5771;13378;6.414;6.707;2.273;121;8.3;0.03747;2.890;
INT MATER REV;0950-6608;2026;6.962;6.567;0.462;13;>10.0;0.00340;2.763;
INT REV PHYS CHEM;0144-235X;1533;5.967;6.977;1.750;12;7.1;0.00402;2.551;
INTENS CARE MED;0342-4642;13827;5.399;4.971;1.301;219;6.5;0.03485;1.509;
ISME J;1751-7362;3899;7.375;7.850;1.787;178;2.6;0.02342;2.812;
J ALLERGY CLIN IMMUN;0091-6749;35353;11.003;9.712;3.072;321;6.0;0.08969;2.851;
J AM ACAD CHILD PSY;0890-8567;15531;6.444;5.976;1.156;96;>10.0;0.02537;2.074;
J AM CHEM SOC;0002-7863;408307;9.907;9.766;1.865;3176;7.5;0.81730;2.799;
J AM COLL CARDIOL;0735-1097;70298;14.156;13.065;3.257;435;6.3;0.22035;4.884;
J AM SOC NEPHROL;1046-6673;29678;9.663;8.306;1.671;228;6.6;0.07830;2.820;
J AUTOIMMUN;0896-8411;3583;7.368;5.165;0.929;70;4.0;0.01081;1.431;
J BIOL REG HOMEOS AG;0393-974X;645;5.183;3.331;0.239;67;2.0;0.00134;0.591;
J BONE MINER RES;0884-0431;21405;6.373;6.459;1.556;295;7.9;0.04831;2.249;
J CATAL;0021-9517;33570;6.002;6.201;0.840;238;9.6;0.04418;1.573;
J CELL BIOL;0021-9525;71070;10.264;9.947;1.984;316;>10.0;0.18632;5.579;
J CELL SCI;0021-9533;38674;6.111;6.401;1.127;402;7.5;0.12096;3.012;
J CHEM THEORY COMPUT;1549-9618;8327;5.215;5.673;1.145;413;3.1;0.04014;1.718;
J CLIN ENDOCR METAB;0021-972X;65397;5.967;6.374;1.287;704;8.0;0.12818;2.003;
J CLIN INVEST;0021-9738;91498;13.069;15.430;2.694;402;9.4;0.21837;6.951;
J CLIN ONCOL;0732-183X;120262;18.372;16.762;4.217;729;5.2;0.39463;5.560;
J CLIN PSYCHIAT;0160-6689;17719;5.799;5.664;0.862;189;7.5;0.03640;1.689;
J COGNITIVE NEUROSCI;0898-929X;13811;5.175;6.268;1.000;320;6.8;0.04189;2.513;
J CONTROL RELEASE;0168-3659;26071;6.499;7.529;0.915;331;6.7;0.04643;1.748;
J COSMOL ASTROPART P;1475-7516;11113;5.723;5.107;1.960;446;3.0;0.05669;1.863;
J EXP BOT;0022-0957;22857;5.364;5.480;1.197;437;6.7;0.05285;1.598;
J EXP MED;0022-1007;67223;13.853;14.665;3.073;220;9.2;0.18851;7.834;
J HEPATOL;0168-8278;19779;9.264;7.872;2.757;305;5.9;0.05235;2.460;
J HIGH ENERGY PHYS;1126-6708;45573;5.831;4.777;2.223;1635;3.6;0.16713;1.459;
J IMMUNOL;0022-1767;131493;5.788;5.859;1.061;1438;7.2;0.36989;2.266;
