JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
INT J BIOCHEM CELL B;1357-2725;11633;4.634;4.759;0.752;214;5.6;0.03706;1.609;
BIOSCIENCE;0006-3568;10429;4.621;6.223;0.921;76;>10.0;0.01820;2.791;
GENOME BIOL EVOL;1759-6653;673;4.618;4.618;0.864;118;1.7;0.00534;2.363;
HEREDITY;0018-067X;8712;4.597;4.523;1.091;154;9.6;0.01771;1.685;
MOL INTERV;1534-0384;1226;4.594;7.487;0.857;7;6.3;0.00342;2.452;
CLIN MICROBIOL INFEC;1198-743X;7630;4.540;4.162;1.047;339;3.9;0.03102;1.385;
PHARMACOGENOMICS J;1470-269X;1895;4.536;4.406;1.688;48;4.8;0.00644;1.379;
PROTEOMICS;1615-9853;16782;4.505;4.615;0.657;426;5.0;0.05152;1.227;
INT REV CEL MOL BIO;1937-6448;609;4.481;4.849;0.721;43;2.6;0.00449;2.053;
EPIGENET CHROMATIN;1756-8935;225;4.462;4.500;0.450;20;2.0;0.00224;2.538;
MOL PLANT MICROBE IN;0894-0282;8350;4.431;4.762;0.910;144;7.0;0.01966;1.464;
BBA-GENE REGUL MECH;1874-9399;4017;4.405;3.476;0.577;78;8.9;0.01084;1.502;
EUR J HUM GENET;1018-4813;6693;4.400;3.997;1.202;208;4.9;0.02519;1.456;
EPIGENETICS-US;1559-2294;1372;4.318;4.462;0.928;166;2.6;0.00784;1.562;
HUM GENE THER;1043-0342;6220;4.218;3.963;1.069;145;7.8;0.01312;1.264;
CELL MOTIL CYTOSKEL;0886-1544;2966;4.194;3.197;;0;8.9;0.00836;1.491;
INT J MED MICROBIOL;1438-4221;2657;4.173;3.592;0.882;85;5.3;0.00883;1.115;
J CLIN MICROBIOL;0095-1137;53523;4.153;4.399;0.836;813;8.3;0.09031;1.281;
PLANT MOL BIOL;0167-4412;13206;4.150;4.226;0.733;131;9.6;0.01898;1.267;
DNA REPAIR;1568-7864;4739;4.135;3.990;0.689;132;4.6;0.02664;1.845;
INT J ANTIMICROB AG;0924-8579;6750;4.128;3.598;0.868;189;4.6;0.02144;1.045;
BRIEF FUNCT GENOMICS;2041-2649;1031;4.126;4.040;0.308;39;3.7;0.00547;1.481;
GEOBIOLOGY;1472-4677;929;4.111;3.669;0.605;38;4.1;0.00518;1.640;
PLOS ONE;1932-6203;75544;4.092;4.537;0.437;13781;2.4;0.50216;1.797;
BMC GENOMICS;1471-2164;14580;4.073;4.328;0.711;626;3.2;0.08062;1.475;
J NEUROCHEM;0022-3042;38731;4.061;4.201;0.790;420;8.2;0.08123;1.333;
CHRONOBIOL INT;0742-0528;2740;4.028;3.233;0.500;104;5.1;0.00616;0.699;
BIOL DIRECT;1745-6150;979;4.017;3.860;0.587;63;3.0;0.00691;1.547;
METHODS;1046-2023;10951;4.011;4.482;1.653;150;>10.0;0.02309;1.943;
GENETICS;0016-6731;41744;4.007;4.113;0.883;290;>10.0;0.08650;1.899;
J AM SOC MASS SPECTR;1044-0305;8794;4.002;3.746;0.711;228;5.8;0.02249;1.054;
J MOL BIOL;0022-2836;70086;4.001;3.981;1.051;712;>10.0;0.16220;1.822;
INNATE IMMUN-LONDON;1753-4259;404;4.000;3.729;0.735;49;2.3;0.00210;1.190;
MOL CANCER;1476-4598;3737;3.993;4.597;0.580;150;3.0;0.02006;1.578;
BBA-BIOMEMBRANES;0005-2736;11498;3.990;4.111;0.975;324;6.0;0.03228;1.328;
CHEMBIOCHEM;1439-4227;9059;3.944;3.719;0.819;337;4.3;0.03418;1.204;
METALLOMICS;1756-5901;585;3.902;3.902;0.674;138;1.8;0.00213;0.942;
J NUTR BIOCHEM;0955-2863;4960;3.891;4.260;1.095;147;5.8;0.01069;1.035;
MACROMOL BIOSCI;1616-5187;3685;3.886;3.799;0.661;171;4.4;0.01081;0.961;
GENES IMMUN;1466-4879;3061;3.872;3.505;1.026;78;5.6;0.01100;1.361;
CHROMOSOMA;0009-5915;3358;3.847;3.685;0.694;49;>10.0;0.00930;2.018;
MED MICROBIOL IMMUN;0300-8584;1324;3.833;3.293;0.733;30;7.7;0.00280;0.929;
APPL ENVIRON MICROB;0099-2240;82478;3.829;4.453;0.633;1135;9.4;0.12783;1.339;
J BACTERIOL;0021-9193;66202;3.825;3.924;0.942;1038;>10.0;0.11157;1.358;
FUTURE MICROBIOL;1746-0913;1248;3.819;3.435;0.581;105;2.4;0.00759;1.197;
FEBS J;1742-464X;10745;3.790;3.341;1.138;392;3.7;0.05521;1.182;
BIOL LETTERS;1744-9561;4455;3.762;4.049;0.555;247;3.7;0.02998;1.723;
BIOELECTROCHEMISTRY;1567-5394;3379;3.759;3.238;0.714;49;6.9;0.00643;0.751;
MOL MED;1076-1551;3069;3.757;4.601;0.993;149;5.9;0.00813;1.460;
CELL BIOCHEM BIOPHYS;1085-9195;1461;3.743;3.107;0.324;142;5.3;0.00561;1.131;
FUNGAL GENET BIOL;1087-1845;3883;3.737;3.514;1.091;121;5.2;0.01150;1.091;
ESSAYS BIOCHEM;0071-1365;640;3.714;3.184;0.348;23;6.6;0.00165;1.033;
BIOCHEM SOC T;0300-5127;11714;3.711;3.729;0.777;332;5.8;0.04283;1.497;
GENE THER;0969-7128;9315;3.710;4.143;1.237;139;7.3;0.02037;1.291;
ENVIRON MOL MUTAGEN;0893-6692;3350;3.709;3.160;0.948;77;8.9;0.00534;0.814;
BMC MED GENOMICS;1755-8794;827;3.693;3.879;0.607;84;2.6;0.00526;1.437;
J HUM EVOL;0047-2484;5784;3.638;4.027;1.098;102;8.9;0.01537;1.725;
BBA-PROTEINS PROTEOM;1570-9639;5180;3.635;2.991;0.735;211;4.1;0.02041;1.018;
MITOCHONDRION;1567-7249;1700;3.615;4.108;0.835;127;4.2;0.00696;1.324;
J BIOMOL NMR;0925-2738;5118;3.612;2.547;0.711;114;>10.0;0.00989;1.071;
EVOL BIOL;0071-3260;865;3.611;;0.556;36;>10.0;0.00199;;
MOL PHYLOGENET EVOL;1055-7903;13208;3.609;3.982;0.750;248;5.6;0.04243;1.331;
EUKARYOT CELL;1535-9778;6199;3.604;3.762;0.603;174;4.9;0.02585;1.373;
GLYCOBIOLOGY;0959-6658;6241;3.580;4.044;0.840;131;6.9;0.01612;1.391;
J INHERIT METAB DIS;0141-8955;3805;3.577;3.183;1.024;125;6.0;0.00956;0.936;
NITRIC OXIDE-BIOL CH;1089-8603;2292;3.548;3.127;0.482;83;5.6;0.00602;0.852;
FEBS LETT;0014-5793;52205;3.538;3.330;0.643;613;>10.0;0.09542;1.287;
MOL BIOSYST;1742-206X;3078;3.534;3.705;0.691;330;2.6;0.01817;1.371;
BMC EVOL BIOL;1471-2148;7405;3.521;4.592;0.519;366;3.7;0.04718;1.833;
FRONT BIOSCI-LANDMRK;1093-9946;9115;3.520;3.302;0.770;200;4.6;0.03581;1.151;
IUBMB LIFE;1521-6543;2964;3.514;3.598;0.289;135;4.7;0.01122;1.259;
PHARMACOGENET GENOM;1744-6872;2589;3.485;3.959;0.523;107;4.1;0.01102;1.167;
TUBERCULOSIS;1472-9792;1774;3.474;3.149;0.441;102;4.6;0.00569;0.925;
GENET EPIDEMIOL;0741-0395;2927;3.441;3.301;0.676;111;6.2;0.01252;1.683;
BIOCHEMISTRY-US;0006-2960;92130;3.422;3.249;0.662;1097;>10.0;0.16197;1.268;
FEMS MICROBIOL ECOL;0168-6496;8692;3.408;3.979;0.657;207;6.7;0.02231;1.279;
J STRUCT BIOL;1047-8477;7447;3.406;3.805;0.874;223;6.4;0.02578;1.622;
PROTEINS;0887-3585;16488;3.392;3.191;0.816;316;6.9;0.04731;1.224;
CURR GENE THER;1566-5232;1266;3.386;4.086;1.739;23;4.3;0.00465;1.211;
J COMPUT AID MOL DES;0920-654X;3524;3.386;3.665;0.655;87;8.9;0.00487;0.786;
PROSTAG LEUKOTR ESS;0952-3278;3349;3.367;3.228;0.203;69;7.0;0.00722;0.916;
SYST APPL MICROBIOL;0723-2020;3765;3.366;3.590;0.738;84;9.2;0.00660;1.159;
J INORG BIOCHEM;0162-0134;9265;3.354;3.495;0.635;222;6.8;0.01556;0.791;
NEUROGENETICS;1364-6745;1034;3.354;3.355;0.974;38;4.3;0.00471;1.301;
INT J FOOD MICROBIOL;0168-1605;16332;3.327;3.847;0.382;335;7.1;0.02952;0.911;
VET MICROBIOL;0378-1135;11015;3.327;3.252;0.604;449;5.6;0.02610;0.834;
J MOL RECOGNIT;0952-3499;2006;3.310;3.375;0.630;100;6.4;0.00484;1.010;
GENE CHROMOSOME CANC;1045-2257;4827;3.306;3.527;0.742;97;7.2;0.01362;1.371;
MATRIX BIOL;0945-053X;3145;3.299;3.429;0.596;47;8.1;0.00668;1.166;
THEOR APPL GENET;0040-5752;18981;3.297;3.814;0.539;254;9.2;0.02304;0.984;
J BIOL INORG CHEM;0949-8257;3803;3.289;3.488;1.018;111;5.6;0.01044;1.028;
FOOD MICROBIOL;0740-0020;4565;3.283;3.768;0.724;199;5.5;0.01052;0.934;
J EVOLUTION BIOL;1010-061X;8003;3.276;3.689;0.594;254;5.6;0.03230;1.568;
AMINO ACIDS;0939-4451;4349;3.248;3.138;0.966;234;3.6;0.01381;0.811;
INSECT BIOCHEM MOLEC;0965-1748;5130;3.246;3.362;0.574;108;8.0;0.00963;0.963;
ENV MICROBIOL REP;1758-2229;624;3.232;3.238;0.938;97;2.0;0.00357;1.186;
PROG BIOPHYS MOL BIO;0079-6107;3212;3.203;4.539;1.564;110;7.2;0.00810;1.722;
MOL GENET METAB;1096-7192;4977;3.193;3.080;0.527;258;5.6;0.01391;0.932;
MUTAGENESIS;0267-8357;2981;3.183;3.652;0.804;97;8.1;0.00462;0.850;
CURR PROTEOMICS;1570-1646;243;3.179;;0.500;6;2.6;0.00062;;
MOL CARCINOGEN;0899-1987;3156;3.164;3.091;0.788;99;5.7;0.00927;0.974;
HELICOBACTER;1083-4389;1634;3.151;2.747;0.542;72;4.6;0.00447;0.660;
BMC SYST BIOL;1752-0509;1734;3.148;3.544;0.346;214;2.6;0.01054;1.229;
PROTIST;1434-4610;1179;3.136;3.323;0.833;48;5.3;0.00382;1.119;
CLIN GENET;0009-9163;5150;3.128;3.115;0.844;122;7.1;0.01433;1.180;
EXPERT OPIN DRUG MET;1742-5255;1884;3.119;3.395;0.414;116;3.3;0.00843;0.941;
MICROBES INFECT;1286-4579;6714;3.101;3.005;0.579;140;6.4;0.01863;0.979;
CHROMOSOME RES;0967-3849;2498;3.087;3.083;0.686;70;6.1;0.00982;1.381;
FORENSIC SCI INT-GEN;1872-4973;946;3.082;3.326;0.385;104;2.9;0.00341;0.695;
CRIT REV EUKAR GENE;1045-4403;630;3.075;2.771;0.042;24;7.2;0.00165;0.933;
J INTERF CYTOK RES;1079-9907;2760;3.063;2.412;1.260;96;7.2;0.00659;0.860;
MOL ECOL RESOUR;1755-098X;3037;3.062;2.907;1.691;165;2.5;0.01523;0.876;
MICROBIOL-SGM;1350-0872;17249;3.061;3.313;0.590;327;7.6;0.03963;1.139;
J STEROID BIOCHEM;0960-0760;8214;3.053;2.890;0.557;131;8.1;0.01573;0.864;
BMC MICROBIOL;1471-2180;4355;3.044;3.375;0.451;264;3.2;0.02129;1.079;
MUTAT RES-GEN TOX EN;1383-5718;6067;3.035;3.175;0.425;160;7.2;0.01069;0.749;
EUR CELLS MATER;1473-2262;1097;3.028;4.953;0.702;47;5.0;0.00343;1.460;
BIOCHIMIE;0300-9084;6883;3.022;3.424;0.631;249;6.1;0.01942;1.113;
CYTOKINE;1043-4666;5401;3.019;3.171;0.451;275;6.2;0.01481;1.021;
GENOMICS;0888-7543;9829;3.019;2.958;0.385;104;>10.0;0.01437;1.160;
J SYST PALAEONTOL;1477-2019;423;3.000;3.627;0.333;33;4.3;0.00279;1.829;
ANAL BIOCHEM;0003-2697;40002;2.996;3.247;0.475;524;>10.0;0.03433;0.912;
J EXP BIOL;0022-0949;22583;2.996;3.301;0.787;451;8.5;0.04622;1.136;
BIOL CHEM;1431-6730;5900;2.965;2.868;0.828;116;7.9;0.01488;1.025;
J MATH BIOL;0303-6812;3134;2.963;2.480;0.493;75;>10.0;0.00789;1.227;
PLANT SCI;0168-9452;9422;2.945;2.864;0.626;179;8.2;0.01204;0.711;
SYST ENTOMOL;0307-6970;1367;2.943;2.810;0.857;49;7.1;0.00333;0.929;
EXTREMOPHILES;1431-0651;2014;2.941;2.565;0.309;68;6.1;0.00555;0.805;
PROTEIN ENG DES SEL;1741-0126;5180;2.937;2.904;0.649;97;>10.0;0.00740;0.970;
ARCH BIOCHEM BIOPHYS;0003-9861;21293;2.935;2.889;0.805;282;>10.0;0.02598;0.927;
IMMUNOGENETICS;0093-7711;3753;2.934;2.716;0.548;73;8.6;0.00598;0.804;
J BIOL RHYTHM;0748-7304;2140;2.934;3.114;0.423;52;8.1;0.00498;1.190;
MOL BIOL REP;0301-4851;3604;2.929;2.809;0.413;678;2.1;0.00745;0.400;
PALEOBIOLOGY;0094-8373;3402;2.926;3.294;0.875;40;>10.0;0.00489;1.565;
BIOORGAN MED CHEM;0968-0896;22584;2.921;3.157;0.529;785;5.0;0.05724;0.716;
MICROB ECOL;0095-3628;6098;2.912;3.609;0.534;174;6.8;0.01462;1.095;
MOL IMMUNOL;0161-5890;8452;2.897;3.023;0.539;271;4.5;0.03202;0.973;
MAMM GENOME;0938-8990;3295;2.887;2.741;0.517;60;9.1;0.00823;1.126;
CURR PROTEIN PEPT SC;1389-2037;1584;2.886;3.512;0.448;67;5.4;0.00488;1.080;
GENET SEL EVOL;0999-193X;1492;2.885;2.110;0.775;40;8.7;0.00258;0.645;
FREE RADICAL RES;1071-5762;5749;2.878;2.745;0.738;126;8.7;0.00902;0.754;
BIOPOLYMERS;0006-3525;10480;2.870;2.699;0.586;140;>10.0;0.01532;0.884;
J CELL BIOCHEM;0730-2312;13724;2.868;3.123;0.534;399;5.9;0.04212;1.055;
CHEM-BIOL INTERACT;0009-2797;6748;2.865;3.060;0.476;189;5.7;0.01528;0.731;
MOL MEMBR BIOL;0968-7688;1327;2.863;2.662;0.469;32;6.3;0.00447;1.053;
EUR J CLIN MICROBIOL;0934-9723;5548;2.859;2.852;0.565;209;7.1;0.01344;0.918;
BMC MOL BIOL;1471-2199;1950;2.857;3.401;0.321;53;3.8;0.01129;1.239;
NEUROCHEM INT;0197-0186;5702;2.857;2.902;0.405;257;5.6;0.01459;0.781;
MOL BREEDING;1380-3743;2892;2.852;2.827;0.404;104;6.8;0.00611;0.756;
MUTAT RES-FUND MOL M;0027-5107;8327;2.850;3.133;0.484;124;7.6;0.01547;1.031;
PRION;1933-6896;383;2.850;2.983;0.549;51;2.9;0.00245;1.132;
FUNCT INTEGR GENOMIC;1438-793X;977;2.842;3.433;0.333;54;4.7;0.00336;1.028;
STEROIDS;0039-128X;4484;2.829;2.691;0.500;212;6.8;0.00973;0.738;
BIOMETALS;0966-0844;2621;2.823;2.919;0.558;104;6.1;0.00637;0.821;
J PHOTOCH PHOTOBIO B;1011-1344;4841;2.814;2.650;0.527;148;>10.0;0.00662;0.647;
ORAL MICROBIOL IMMUN;0902-0055;2039;2.807;2.576;;0;7.9;0.00413;0.762;
CURR PHARM BIOTECHNO;1389-2010;1552;2.805;3.043;0.581;210;3.7;0.00522;0.877;
CANCER GENE THER;0929-1903;2486;2.802;2.508;0.626;91;5.9;0.00680;0.768;
MEDCHEMCOMM;2040-2503;223;2.800;2.800;0.591;164;1.1;0.00058;0.700;
J HERED;0022-1503;6212;2.799;2.569;0.293;99;>10.0;0.00867;0.972;
PROTEIN SCI;0961-8368;13486;2.798;3.018;0.770;200;9.0;0.03056;1.310;
OLIGONUCLEOTIDES;1545-4576;620;2.797;2.634;0.769;13;4.1;0.00208;0.648;
RES MICROBIOL;0923-2508;3769;2.763;2.865;0.821;117;6.7;0.00957;0.979;
TRANSGENIC RES;0962-8819;2564;2.754;2.768;0.604;111;6.4;0.00596;0.785;
BMC BIOINFORMATICS;1471-2105;14268;2.751;3.493;0.293;557;4.2;0.07757;1.314;
J MOL CATAL B-ENZYM;1381-1177;4576;2.735;2.701;0.574;183;5.7;0.00900;0.576;
PHYSIOL GENOMICS;1094-8341;4134;2.735;3.260;0.496;127;5.6;0.01377;1.125;
PROSTAG OTH LIPID M;1098-8823;2173;2.705;2.492;0.286;42;9.6;0.00360;0.742;
TAXON;0040-0262;3327;2.703;2.804;0.931;131;7.1;0.00803;0.920;
INT J BIOL SCI;1449-2288;947;2.699;;0.738;122;3.0;0.00459;;
RADIAT RES;0033-7587;8239;2.684;2.844;0.509;165;9.9;0.01397;0.925;
